#,Track,What I call it,How much I care,Full title,Who wrote it,Year,Where it came out,Is that a good place to publish?,How many people cite it,Where they're from,Link,Did I actually read it?,What problem were they solving,Who they built it for,What data they used,How much of it,Can I download their work?,Did they follow a proper method?,How many classes,How many properties,The classes worth knowing about,The properties worth knowing about,Any rules or clever definitions,How the data got in,What software they used,How it actually recommends things,Reasoner,SPARQL?,Did they link to outside data,How they tested it,The numbers they got,Do the numbers back up the claim?,What I'm taking from it,"What I'm leaving, and why",What they can't do that I can,The idea nobody would expect,Where this goes in my chapter
1,B,Moe & Aung,Read closely,Building Ontologies for Cross-domain Recommendation on Facial Skin Problem and Related Cosmetics,"K. S. M. Moe, T. N. Aung",2014,Int. Journal of Information Technology and Computer Science 6(6) 33-39,"Weak. A low barrier journal. Say so plainly if asked; I cite it for its method, not its standing","3 (2014 version), 8 (2016 reprint)","Univ. of Technology Yatanarpon Cyber City + Univ. of Computer Studies Yangon, Myanmar",https://www.mecs-press.org/ijitcs/ijitcs-v6-n6/v6n6-5.html,"Read the whole PDF, it's in our repo","A user has a facial skin problem and needs a cosmetic. The problem and the products live in two different worlds, so how do you bridge them",Consumers with a skin complaint,None stated. This is the paper's biggest weakness,Not reported anywhere in the paper,"No. No link, no repository, no address. The ontology exists only as figures","No name given, but it is METHONTOLOGY in all but name: an eight task procedure",They never say,They never say,"SkinProblem, Symptom, Cause, Cosmetics, and ContextualFeatures which holds PlaceZone, AgeLevel, CosmeticsBrand, Season, PriceRange","hasIngredients, hasIngValue, isNextRelatedTo, hasSymptom, hasCause","None. No defined classes, no rules",Not reported. Almost certainly typed in by hand in Protege,Protege,"Three stages. Conversational questioning narrows a vague query to a definite problem, then problem and products go into a weighted graph, then Ford-Fulkerson maximum flow scores each product. Highest flow wins",None. An ontology paper that never actually reasons,No,None,"Precision, recall and F-measure, plotted against a cut-off they call alpha",Product flow weights from 0.38 to 0.70. No dataset size given,"No. They claim to beat related work but there is no comparison table, no baseline and no dataset size","The eight task checklist, especially task 1, a glossary of every term with its synonyms. Also their ContextualFeatures class: price and place describe a product as sold somewhere, not the product itself","Ford-Fulkerson. My products already carry availability, price and evidence level, so a weighted filter does the same job with less machinery","Their ingredients are free text with a number attached and no register behind them. Nothing in their model can say an ingredient is regulated. Mine can, on 99.2% of products with a formula","Their throwaway Season class. Beirut summer is humid and coastal, winter is dry, so a gel cleanser right in August is wrong in January. Nobody in my whole review models climate, and Lebanon has a genuinely seasonal skin problem","Section 3.2, first competitor"
30,C,E-Prod,Read for architecture,An ontology based product recommendation system for next generation e-retail,A. M. Tiryaki et al.,2023,Journal of Organizational Computing and Electronic Commerce,"Taylor and Francis, respectable",4,Turkey,https://consensus.app/papers/details/d79755c5a1a65d048c1d926a7e172938/,Abstract,Product recommenders fail because they lack semantics,E-commerce sellers and buyers,"Live e-commerce sites, tracked in real time. Clothing, shoes and bags",Over 250 registered users,"Not stated, it was a state-funded R&D project",Not named,They don't say,They don't say,"Product model classes, not detailed in the abstract",They don't go into it,Semantic matching between products and user preferences,"IT TRACKS E-COMMERCE SITES IN REAL TIME AND TRANSFERS PRODUCT INFORMATION INTO THE ONTOLOGY MODEL. That is an automated, continuous population pipeline",They don't say,"Combines machine learning with semantic matching. Learns preferences by watching user behaviour, then matches semantically between products and preferences",They don't say,They don't say,None,Compared against traditional collaborative recommendation with 250+ real users,"92.79% accuracy, 92.93% precision, 90.58% recall, beating the collaborative baseline","Better than most in my review. Real users, a stated baseline, three metrics",THE POPULATION ARCHITECTURE. Real-time tracking of retail sites into an ontology is the industrial version of what I built by hand. Also their evaluation design: a real baseline and 250 users,The clothing domain and the behavioural learning,"No regulator, no provenance, no availability modelling, and no safety dimension. Clothes cannot hurt you","They prove the pipeline can run continuously rather than as a one-off scrape. My six Lebanese retailers could be re-read on a schedule, which turns my dataset from a snapshot into a live resource. That is the single biggest upgrade available to my dataset paper and it needs no new modelling","Section 4, and future work"
31,C,OntoCommerce,Cite in passing,OntoCommerce: an ontology focused semantic framework for personalised product recommendation for user targeted e-commerce,G. Deepak et al.,2019,International Journal of Computer Aided Engineering and Technology,Modest journal,38,India,https://consensus.app/papers/details/020e8260f3395f61aae71e369bce366e/,Abstract,Bring semantics into e-commerce product recommendation,Online shoppers,E-commerce product data and user navigation logs,They never say,They don't say,Not named,They don't say,They don't say,They don't go into it,They don't go into it,Parametric fuzzification to widen the recommendable set,They don't say,They don't say,"Semantic similarity computed with enriched normalised pointwise mutual information, combined with user query, recorded navigation and profile analysis",They don't say,They don't say,None,Accuracy and false discovery rate,"88.68% average accuracy, false discovery rate 0.13","Plausible, though 'best-in-class' is a strong phrase for the evidence given",AN ALTERNATIVE SIMILARITY MEASURE: normalised pointwise mutual information. Worth knowing when I choose how to compute product similarity,The fuzzification and the navigation logs,"Same as the rest of track C: no regulator, no provenance, no availability","Their false discovery rate metric is unusual and useful. In a domain with physical risk, reporting how often the system recommends something it should not is arguably MORE important than accuracy. I could adopt it and justify it on safety grounds, which no cosmetics paper has done","Comparison table, similarity methods"
32,C,Lahoud (Lebanon),Read - local precedent,A comparative analysis of different recommender systems for university major and career domain guidance,C. Lahoud et al.,2022,"Education and Information Technologies, Springer",Solid Springer journal,36,LEBANON,https://consensus.app/papers/details/1aef32f231a051b8b266907d2bb517b6/,Abstract,"Lebanese high school students are confused choosing a university major, with a volatile labour market and too much web data",Lebanese high school students,"A case study on LEBANESE high school students, with a purpose-built ontology",They don't say,The ontology is described as reusable in other systems,Not named,They don't say,They don't say,A novel ontology covering the guidance domain,They don't go into it,Case-based reasoning combined with the ontology,They don't say,They don't say,"Five approaches compared: user-based and item-based collaborative filtering, demographic, knowledge-based with case-based reasoning, ontology, and hybrids of them",They don't say,They don't say,None,Comparative evaluation on Lebanese students with feedback and satisfaction measures,"The hybrid (knowledge-based + collaborative + case-based reasoning + ontology) reached 98% similar cases, 95% personalised, 95% usefulness, 92.5% satisfaction",Reasonably. Five approaches compared on the same case study is a proper comparison,"THE LOCAL PRECEDENT. A Lebanon-focused ontology recommender is publishable in a real journal with citations. That answers 'is a local scope a limitation' before it is asked. Also: the HYBRID beat every pure approach, which supports my future work direction",The education domain,Nothing. This one's on our side,"Beyond the citation: these are LEBANESE ACADEMICS WORKING ON ONTOLOGY RECOMMENDERS. That makes them potential examiners, reviewers, collaborators or at minimum a friendly audience for a seminar. Worth finding out where they are","Section 4, and scope justification"
33,C,COPPER ontology,THE TEMPLATE TO COPY,Development and evaluation of the COntextualised and Personalised Physical activity and Exercise Recommendations (COPPER) Ontology,M. Braun et al.,2025,International Journal of Behavioral Nutrition and Physical Activity,Strong Q1 health journal,4,Europe,https://consensus.app/papers/details/49832525b1df5c31865f019b8635ffe5/,Read the abstract carefully,"Personalised physical activity plans need to combine expert knowledge, user input and data, and black-box approaches cannot do that transparently","People being advised on physical activity, and the professionals advising them","Literature research, use case scenarios, decision-tree workshops, existing theories and classification systems, end-users, domain experts and datasets","288 classes, 9 data properties, 64 object properties","YES, openly available, and being open is stated as one of its three novelty claims","Follows OBO Foundry design principles, with specification, conceptualisation and formalisation phases",288,"9 data, 64 object","An upper-level ontology plus lower-level ontologies for PERSONAL PROFILE, PLANNING, ACTIVITY, CONTEXT, BARRIER and COPING STRATEGY. Note the modular split",Abstract doesn't go into it,Logic rules created during formalisation,"Conceptualisation combined theory, classification systems, end-user input, expert input and datasets","Protege, translated into OWL",Recommendations for action and coping plans are produced from the ontology given a personal profile and context,"Yes, checked for logical consistency",They don't say,OBO Foundry principles,"THREE-PART EVALUATION: the PROCESS was evaluated against OBO Repository Principles, the ONTOLOGY was checked for logical consistency, and the RECOMMENDATIONS were evaluated using COMPETENCY QUESTIONS and USE CASES","288 classes, 9 data properties, 64 object properties, logically and structurally consistent, recommendations deemed relevant","Yes, and carefully. They claim consistency and relevance, and they demonstrate both. No accuracy claim is made because none is warranted","THIS IS THE TEMPLATE FOR MY WHOLE ONTOLOGY CHAPTER. Modular lower-level ontologies including a CONTEXT module and a BARRIER module. Openly available as a stated contribution. Evaluation by competency questions and use cases rather than accuracy. Even the size, 288 classes, is a realistic target",The physical activity domain,Nothing. Read it and match its structure,"They have a BARRIER module: things that stop a person doing the activity. My equivalent is unavailability, price, and the currency crisis. Nobody in cosmetics models barriers, and 'barrier' is a much better frame than 'availability' because it covers price, stock, distance and season in one concept. Consider renaming my Lebanon module around it","Methodology chapter, the model to follow"
34,C,FEVR,Cite for evaluation,Evaluating Recommender Systems: Survey and Framework,"E. Zangerle, C. Bauer",2022,ACM Computing Surveys,"ACM CSUR. Q1, very high impact",283,Austria,https://consensus.app/papers/details/793b2c09411459cda72df729aee73069/,Abstract,"Evaluating a recommender properly means choosing goals, methods, data and metrics together, and that knowledge is scattered across the field",Recommender systems researchers,The literature on recommender evaluation,They never say,"Published survey, widely used",Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Not a recommender. It is a framework for deciding HOW to evaluate one,Doesn't apply here,Doesn't apply here,Doesn't apply here,"Consolidates the scattered knowledge on recommender evaluation into FEVR, the Framework for Evaluating Recommender systems","Not applicable. It is a framework, not an experiment","Yes. It is careful, widely adopted and does not overclaim","THE JUSTIFICATION FOR MY EVALUATION DESIGN. FEVR's core argument is that the evaluation setting must follow the evaluation GOAL. My goal is correctness with a stated reason, not ranking accuracy, so precision and recall are the wrong instruments to reach for","The metric catalogue for interaction-based systems, which does not apply to me",Nothing. It is a framing source rather than a competitor,This is the shield against 'why no precision and recall'. A 283-citation ACM Computing Surveys paper says the evaluation must match the goal. My goal is verifiable correctness. That is a complete answer and it takes one sentence,"Evaluation chapter, opening justification"
35,D,Lee (lululab),Read closely - direct rival,Deep learning-based skin care product recommendation: A focus on cosmetic ingredient analysis and facial skin conditions,"J. Lee, H. Yoon, S. Kim, C. Lee, J. Lee, S. Yoo",2024,"Journal of Cosmetic Dermatology, Wiley",Wiley clinical dermatology journal. Better standing than most of my track B,They never say,"AI R&D Center, lululab Inc., Seoul, South Korea",https://doi.org/10.1111/jocd.16218,Abstract + the publisher page,Cosmetic recommendation ignores what the ingredients actually do. Estimate efficacy from ingredients and combine it with AI skin analysis,"Consumers, through a commercial product",Cosmetic ingredient lists and facial skin images. Proprietary,They don't say,No. Corporate R&D,"Not applicable, no ontology",Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Deep neural network plus AI skin analysis,A deep neural network estimates the efficacy of a cosmetic FROM ITS INGREDIENTS. AI skin analysis assesses the user's face. The two combine into a personalised recommendation,None,No,None,Reported as effective for various skin issues,Exact figures not in the abstract,Cannot fully assess; it is a corporate paper in a clinical journal,"Nothing technical. Its value is that IT DOES MY PROBLEM WITHOUT AN ONTOLOGY, so I must answer it directly and honestly",The whole approach. I have no labelled efficacy data and no facial images,"MY COMPARISON TABLE: they learn ingredient-to-efficacy from data, I derive it from the EU register plus stated rules. They give a weight, I give an ingredient, its function and the annex entry. They need proprietary training data, I need none. They cannot handle an unseen ingredient, I either have it in the register or report that I do not. They cite nothing, I cite Regulation (EC) 1223/2009. They model no availability, I model it as core","USE THEIR MODEL AS A HYPOTHESIS GENERATOR AND MY ONTOLOGY AS THE CHECK. Train something small on my 11,802 formulas to predict claimed benefits, take its confident predictions and test them against CosIng functions. Where model and register agree, the claim is well supported. Where they disagree, I have found either a mislabelled product or a genuinely novel formulation. THAT DISAGREEMENT SET IS A RESEARCH RESULT, and only computable because I have both halves","Section 5, and the honesty paragraph"
36,D,NCF,Cite as baseline,Neural Collaborative Filtering,"X. He, L. Liao, H. Zhang, L. Nie, X. Hu, T.-S. Chua",2017,WWW 2017,The Web Conference. Rank A*,Many thousands,National University of Singapore,https://arxiv.org/abs/1708.05031,"Abstract, plus I already knew this one",Matrix factorisation uses a simple inner product. Replace it with a neural network that can learn arbitrary interaction functions,Recommender systems researchers,Standard benchmark interaction datasets,Millions of interactions,"Yes, code is public",Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,"Neural networks, standard deep learning stack",Learns user and item embeddings from an interaction matrix and predicts a score with a neural network,None,No,None,Offline benchmarks with standard splits,Improvements over matrix factorisation baselines,"Yes, it is a careful methods paper","The citation, as the standard neural baseline",The method entirely. IT NEEDS A USER-ITEM MATRIX AND I HAVE NONE,"It cannot recommend to a user with no history, cannot say why, and cannot cite a regulator","Its very requirement is my scope statement. Every method in this family learns from USER BEHAVIOUR. My dataset contains none, by design, because it is a product resource and not an interaction log. That is a boundary, not a defect, and it defines which half of the literature I belong to","Section 5, background"
37,D,Zhang DL survey,Cite for taxonomy,Deep Learning based Recommender System: A Survey and New Perspectives,"S. Zhang, L. Yao, A. Sun, Y. Tay",2019,ACM Computing Surveys 52(1),"ACM CSUR. Q1, very high impact",Several thousand,UNSW Australia and NTU Singapore,https://arxiv.org/abs/1707.07435,"Abstract, plus I already knew this one",Organise the fast-growing field of neural recommendation,Researchers,Literature,They never say,Published survey,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Surveys the neural architectures used for recommendation,Doesn't apply here,Doesn't apply here,Doesn't apply here,Review,Doesn't apply here,Yes for a survey,"The reference taxonomy for the deep learning track, so I can characterise the whole family in one citation instead of ten","Everything else, honestly",Doesn't apply here,"Using one survey to cover a whole track keeps my chapter proportionate. Track D is the alternative I position against, not the field I am joining, so it should be short and well cited rather than long","Section 5, background"
38,E,CKE,Cite in passing,Collaborative Knowledge Base Embedding for Recommender Systems,"F. Zhang, N. J. Yuan, D. Lian, X. Xie, W.-Y. Ma",2016,ACM SIGKDD 2016,SIGKDD. Rank A*,Thousands,Microsoft Research Asia,https://dl.acm.org/doi/10.1145/2939672.2939673,"Abstract, plus I already knew this one",Ratings alone are sparse. Use a knowledge base to enrich item representations,Recommender researchers,Knowledge base plus ratings,Benchmark scale,Widely reimplemented,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Deep learning stack,"Learns item representations jointly from a knowledge base and from ratings, then recommends",None,No,Knowledge base entities,Offline benchmarks,Improvements over collaborative baselines,Yes,The citation. It is the first of the four canonical hybrid models,The method. Needs ratings,"No provenance, no authority, no availability","It is the earliest of the four, so it marks the start of the line. Useful for showing the hybrid track has a decade of history and my future work joins something established rather than speculative","Section 6, hybrid background"
39,E,RippleNet,Cite in passing,RippleNet: Propagating User Preferences on the Knowledge Graph for Recommender Systems,"H. Wang, F. Zhang, J. Wang, M. Zhao, W. Li, X. Xie, M. Guo",2018,ACM CIKM 2018,CIKM. Rank A,Thousands,Shanghai Jiao Tong University and Microsoft Research Asia,https://arxiv.org/abs/1803.03467,"Abstract, plus I already knew this one",Spread a user's known preferences outward through a knowledge graph like ripples on water,Recommender researchers,Interaction history plus a knowledge graph,Benchmark scale,Code public,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Deep learning stack,"Starting from items the user liked, propagate outward along graph edges to discover related items, weighting by distance",None,No,Knowledge graph entities,Offline benchmarks,Improvements over baselines,Yes,"The citation, and the intuition that graph distance encodes relatedness",The method. Needs interaction history,"Same as the rest: no regulator, no provenance, no availability","Its intuition, propagation along edges, is the neural cousin of what a reasoner does symbolically. Noting that parallel in my thesis shows I understand both halves rather than treating them as rival tribes","Section 6, hybrid background"
40,E,KGAT,Cite in passing,KGAT: Knowledge Graph Attention Network for Recommendation,"X. Wang, X. He, Y. Cao, M. Liu, T.-S. Chua",2019,ACM SIGKDD 2019,SIGKDD. Rank A*,Thousands,National University of Singapore and University of Science and Technology of China,https://arxiv.org/pdf/1905.07854 | code: https://github.com/xiangwang1223/knowledge_graph_attention_network,"Abstract, code repository and general knowledge","Model high-order relations in a collaborative knowledge graph, so item side information genuinely helps",Recommender researchers,Interaction history plus item side information as a graph,Benchmark scale,"YES, code on GitHub",Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Graph neural network with attention,"Attention over a collaborative knowledge graph learns which neighbours matter, capturing relations several hops away",None,No,Knowledge graph entities,"Offline benchmarks against CKE, CFKG, RippleNet, MCRec and factorisation baselines","Better accuracy, and comparable computational cost to the lighter models while being much cheaper than path-based ones","Yes. Proper baselines, proper ablations. A well-run empirical paper","The citation, and its comparison table which tells me the cost profile of the whole family",The method. Needs interaction history,It treats the knowledge graph as SIDE INFORMATION to fix sparsity. My position is the mirror image: the graph is the contribution and the interactions do not exist yet,"That mirror-image framing is the cleanest way to place my thesis relative to the strongest work in the field. I am not competing with KGAT. I am building the thing KGAT assumes it already has, for a domain and a market where it does not exist","Section 6, and future work"
41,E,KPRN,Read - explainability,Explainable Reasoning over Knowledge Graphs for Recommendation (KPRN),"X. Wang, D. Wang, C. Xu, X. He, Y. Cao, T.-S. Chua",2019,"AAAI Conference on Artificial Intelligence 33, 5329-5336",AAAI. Rank A*,Over a thousand,National University of Singapore,https://ojs.aaai.org/index.php/AAAI/article/view/4470,"Abstract, plus I already knew this one",Make the reason for a recommendation visible by reasoning over paths in the knowledge graph,Recommender researchers who care about explainability,Interaction history plus a knowledge graph,Benchmark scale,Code public,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Recurrent neural network over graph paths,"Builds a representation of each PATH between user and item by composing the meanings of the entities and relations along it, then pools paths with weights so stronger paths count more. THE PATH IS THE EXPLANATION","None symbolic, but the path serves the same role",No,Knowledge graph entities,Offline benchmarks plus explanation quality discussion,Improvements over non-explainable baselines,Yes,"THE MOST RELEVANT PAPER IN TRACK E. Its insight is that a path through the graph IS a reason. That is the same intuition as a reasoner producing a justification, arrived at from the neural side",The recurrent network and the interaction requirement,"Their paths explain a correlation. My paths would explain a REGULATION: this product contains phenoxyethanol, which is a preservative, restricted under Annex V entry 29, according to the European Commission. That is a stronger kind of explanation","Related work on EXPLANATION PATH QUALITY (Balloccu et al.) optimises paths for recency, popularity and diversity. For a safety domain the quality criterion should be VERIFIABILITY: can each hop in the path be traced to a source. My evidence levels make that computable, and nobody has proposed verifiability as a path quality metric","Section 6, and the explainability argument"
42,E,RDF2Vec,Cite for embeddings,RDF2Vec: RDF Graph Embeddings for Data Mining,"P. Ristoski, H. Paulheim",2016,"ISWC 2016, Springer LNCS",ISWC. Rank A,Over a thousand,"University of Mannheim, Germany",https://doi.org/10.1007/978-3-319-46523-4_30,"Abstract, plus I already knew this one","Make RDF graphs usable by machine learning, which needs numbers not triples",Data mining researchers,RDF graphs including DBpedia,Large-scale knowledge graphs,"Yes, widely available",Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Random walks over the graph plus word2vec,"Walks around the graph, treats each walk as a sentence and each entity as a word, then applies word2vec to get a vector per entity",No,Operates on RDF,DBpedia and similar,Machine learning benchmarks on entities from DBpedia,Effective embeddings for large-scale knowledge graphs,Yes,"The concept, and the citation. Turning a graph into vectors is how the two halves of my review connect","For me it is superseded by OWL2Vec*, because RDF2Vec ignores OWL logic and my ontology will have real logical constructors",It embeds structure but discards axioms,"The distinction between RDF2Vec and OWL2Vec* is a neat way to show in one paragraph that my ontology carries more information than a plain graph. If my defined classes and restrictions were pointless, RDF2Vec would be sufficient. That OWL2Vec* exists is evidence that they are not","Section 6, embeddings"
43,E,OWL2Vec*,THE BRIDGE I CAN USE NOW,OWL2Vec*: Embedding of OWL Ontologies,"J. Chen, P. Hu, E. Jimenez-Ruiz, O. M. Holter, D. Antonyrajah, I. Horrocks",2021,"Machine Learning journal 110, 1813-1845, Springer","Strong journal, and the Oxford group is authoritative",Several hundred,"University of Oxford, City University of London",https://doi.org/10.1007/s10994-021-05997-6 | code: https://github.com/KRR-Oxford/OWL2Vec-Star,Abstract and repository,"RDF2Vec cannot capture the logical axioms of an OWL ontology, so build an embedding that can",Anyone with an OWL ontology and a prediction task,"OWL ontologies, evaluated on biomedical ones",Large ontologies,"YES, code on GitHub",Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,"Random walks plus word embeddings, but FIRST materialising the ontology with a REASONER","Encodes graph structure, lexical information AND logical constructors into a vector per entity","YES, used to materialise the ontology before walking",No,Works on any OWL ontology,Class membership prediction and class subsumption prediction,"Benefits demonstrated from all three information sources: structure, lexical content, logic",Yes. Careful ablations showing each component contributes,"THE RIGHT HYBRID ENTRY POINT FOR ME, and the only one in track E I could use immediately, because IT NEEDS AN ONTOLOGY, NOT A USER LOG. Two concrete uses: product similarity with no ratings, and predicting missing values",Nothing yet. This is the one to try,Everything else in track E requires interactions I do not have. This does not,"It was EVALUATED ON CLASS MEMBERSHIP PREDICTION. My size_value is 27% complete and rating is 51% complete. Predicting missing values with an embedding, then checking the predictions against the CosIng-derived facts I already hold, is a self-validating experiment. I can measure how well it works without collecting anything new","Section 6, and my future work chapter"
44,E,Ontology-grounded GraphRAG,CITE IN INTRODUCTION,Ontology-grounded knowledge graphs for mitigating hallucinations in large language models for clinical question answering,M. Ali et al.,2026,"Journal of Biomedical Informatics, Elsevier",Strong specialist journal,11,Egyptian institutions,https://consensus.app/papers/details/d7c871f2bb3857439c1bfa563bebf37a/,Read the abstract carefully,"Large language models hallucinate, which makes them unusable clinically. Ground them in an ontology and see if that fixes it",Clinicians and biomedical informaticians,Clinical and hospital data from multiple Egyptian institutions,"60 clinical questions, with reference answers from five peer-reviewed hospital studies",They don't say,"Domain-specific RDF/OWL ontology, construction not detailed in the abstract",They don't say,They don't say,Clinical concepts,They don't go into it,The ontology enforces structured semantic grounding during question answering,From clinical and hospital data,"GraphRAG framework, RDF/OWL, LLMs","Retrieval augmented generation where the retrieval is over an ontology-grounded knowledge graph, so the model's answers are constrained by the graph",Semantic grounding rather than a classical reasoner,Implied,None stated,Three conditions compared on the same 60 questions against clinically reported reference answers,"ChatGPT-4: 37% accurate, ~63% hallucination. DeepSeek-R1: 52%, ~48%. ONTOLOGY-GROUNDED: 98% (59 of 60), 1.7% hallucination","Yes, and it is a proper controlled comparison on a fixed question set with external reference answers","THE ANSWER TO 'WHY NOT JUST ASK AN LLM', which is the question every supervisor and reviewer will ask in 2026. With numbers, peer reviewed, in a domain with physical risk",The clinical QA application itself,Not a competitor. It is my strongest supporting citation,"The sentence for my introduction: in a safety-relevant domain, grounding a language model in an ontology reduced hallucination from 63 percent to 1.7 percent, which is the difference between a system that can be deployed and one that cannot. Skincare is a safety-relevant domain too, and my ontology is the grounding","INTRODUCTION, and Section 6"
45,E,LLMs4OL,Read for future work,LLMs4OL 2024 Overview: The 1st Large Language Models for Ontology Learning Challenge (and the 2025 second edition),"H. Babaei Giglou, J. D'Souza, S. Auer",2024-2025,ISWC challenge proceedings,ISWC-affiliated shared task. Community standard,Growing,"TIB Hannover, Germany",https://arxiv.org/abs/2409.10146,Abstract,"Can large language models do ontology learning, and how well",Ontology and NLP researchers,"Ontologies across several domains, used as evaluation targets",Multiple ontologies,"YES, the challenge data is public",A shared task rather than a methodology,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,The whole point is automated construction,"BERT through GPT-3.5 to LLaMA-3-70B, with fine-tuning, retrieval-augmented prompting and prompt engineering",Not a recommender,Doesn't apply here,Doesn't apply here,Doesn't apply here,"THREE TASKS: term typing (what category does this term belong to), taxonomy discovery (what is the hierarchy), and non-taxonomic relation extraction","Strong precision, recall and macro-F1 on several ontologies, but some domains only partially resolved","Yes, and honestly. They state where it did not work and what add-ons are needed","THE TASK DEFINITIONS. My benefits and concerns columns are free text in several languages written by retailers. That is term typing and taxonomy discovery, exactly","Nothing yet. This is a future work direction, not a method for the core thesis","They evaluate on existing ontologies. I would evaluate against an AUTHORITY, which is stronger","THE DESIGN THAT MAKES THIS DEFENSIBLE: let an LLM PROPOSE a concern taxonomy from my own data, then VALIDATE every proposal against CosIng and DermO, and report the survival rate. The LLM proposes, the authority disposes. That is defensible where 'I asked ChatGPT' is not, and the survival rate is a number nobody has published for cosmetics. Strong second paper","Section 6, future work"
46,E,Shimizu LLM+ontology,Read for future work,Accelerating Knowledge Graph and Ontology Engineering with Large Language Models,"C. Shimizu, P. Hitzler",2024,"arXiv, position paper",Position paper by authoritative authors,46,"Kansas State University, USA",https://consensus.app/papers/details/82d868ee8f7953108246241e28d5e339/,Abstract,Lay out LLM-based knowledge graph and ontology engineering as a research area,Ontology engineers,"Position paper, no data",Doesn't apply here,Public preprint,Argues that MODULAR approaches to ontologies will be of central importance,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,"Discusses LLMs for ontology modelling, extension, modification, POPULATION, alignment and entity disambiguation",Large language models,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,"Position paper, no evaluation",Doesn't apply here,It is explicitly a position paper and does not claim results,"THE ARGUMENT THAT MODULARITY MATTERS MORE, NOT LESS, IN THE LLM ERA. That is direct support for my four-module design, from the authors of the modular methodology I am adopting",The speculative parts,"Not competing with us, it's on our side","It lists entity disambiguation as an LLM opportunity. Entity matching is precisely where I measured a 19 to 33 percent error rate with fuzzy string matching. An LLM-assisted matching pass, validated against my hand-checked sample, would be a small, well-scoped and genuinely useful experiment with a ready-made ground truth","Section 6, and methodology justification"
47,F,Noy & McGuinness 101,"Cite, do not rely on",Ontology Development 101: A Guide to Creating Your First Ontology,"N. F. Noy, D. L. McGuinness",2001,Stanford Knowledge Systems Laboratory technical report,"Not peer reviewed, but universally cited",Many thousands,"Stanford University, USA",https://protege.stanford.edu/publications/ontology_development/ontology101.pdf,Read the whole thing,Teach a beginner to build their first ontology,Beginners,"None, it is a guide",Doesn't apply here,Freely available,"Yes, a seven-step process",Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Protege,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,It is a teaching guide and claims nothing more,"The class-versus-property test, and the individual-versus-class test, which I used to decide that Annex entries are individuals. Also the practice of writing competency questions","It is too light to be my only methodology, and it is 25 years old","It predates linked data, so it has nothing to say about reuse or publication, which is where MOMo and LOT come in",Everyone cites it and almost nobody follows anything else. Rahayu et al. found 28 studies that mostly named no methodology at all. Citing 101 AND naming a modern methodology is a cheap way to look serious,Methodology chapter
